url,year,course_title,language,college,lecturers_urls,lecturers,programmes,text
https://studiegids.uva.nl/xmlpages/page/2022-2023/zoek-vak/vak/102530,2022,1.5: Wiskunde en logische diagnoses,Nederlands,Medische informatiekunde,['/xmlpages/page/2022-2023/zoek-docent/docent/12688'],['G. Cina  (coördinator)'],"['/xmlpages/page/2022-2023/zoek-opleiding/opleiding/7155', '/xmlpages/page/2022-2023/zoek-opleiding/opleiding/7276']","['Aanbevolen voorkennis', 'Wiskunde en logische diagnoses']"
https://studiegids.uva.nl/xmlpages/page/2022-2023/zoek-vak/vak/102532,2022,1.6: Zelfzorg met e-health,Nederlands,Medische informatiekunde,['/xmlpages/page/2022-2023/zoek-docent/docent/10447'],['M.P. Fransen  (coördinator)'],"['/xmlpages/page/2022-2023/zoek-opleiding/opleiding/7155', '/xmlpages/page/2022-2023/zoek-opleiding/opleiding/7276']","['Inhoud', 'Zelfzorg met e-health']"
https://studiegids.uva.nl/xmlpages/page/2022-2023/zoek-vak/vak/102534,2022,2.1: Klinische Epidemiologie en Biostatistiek,Nederlands,Medische informatiekunde,['/xmlpages/page/2022-2023/zoek-docent/docent/12495'],['M.W.T. Tanck  (coördinator)'],['/xmlpages/page/2022-2023/zoek-opleiding/opleiding/7276'],"['Inhoud', 'Klinische Epidemiologie en Biostatistiek']"
https://studiegids.uva.nl/xmlpages/page/2022-2023/zoek-vak/vak/102536,2022,2.2: Uitwisseling van gezondheidsgegevens en -kennis,Nederlands,Medische informatiekunde,['/xmlpages/page/2022-2023/zoek-docent/docent/12493'],['Dr. Ir. R. Cornet  (coördinator)'],"['/xmlpages/page/2022-2023/zoek-opleiding/opleiding/7155', '/xmlpages/page/2022-2023/zoek-opleiding/opleiding/7276']","['Inhoud', 'Uitwisseling van gezondheidsgegevens en -kennis']"
https://studiegids.uva.nl/xmlpages/page/2023-2024/zoek-vak/vak/113246,2023,(Fake) visueel nieuws: nieuwsafbeeldingen en historisch onderzoek,Nederlands,Graduate School of Humanities,['/xmlpages/page/2023-2024/zoek-docent/docent/13388'],['T.P. Smits MA (coördinator)'],[],"['Leerdoelen', 'Nieuwsafbeeldingen analyseren als een historische bron en begrijpen hoe ze de geschiedenis weerspiegelen en vormgeven.Visuele bronnen kritisch benaderen oa. door het herkennen van manipulatie, bias, en ideologische perspectieven.Diverse vormen van visuele analyse toe te passen, variërend van close reading tot distant viewing.Onderzoeksresultaten communiceren via een poster en een (kleine) visuele tentoonstelling.', 'Inhoud', 'Het overgrote deel van het historisch onderzoek is gebaseerd op tekstuele bronnen. Sinds het midden van de negentiende eeuw zijn afbeeldingen steeds belangrijker geworden als een vorm van communicatie. In deze cursus onderzoeken we hoe massaal geproduceerde nieuwsafbeeldingen de geschiedenis weerspiegelen en vormgeven. Hoewel ze vaak gezien worden als een meer directe en objectieve vorm van representatie, staat de status van de nieuwsafbeelding in onze eigen tijd onder druk. Photoshop, generatieve AI en wijdverspreide claims over ‘fake news’ zorgen ervoor dat we onze ogen steeds minder kunnen vertrouwen. In deze cursus bespreken we de geschiedenis van visueel (nep) nieuws - van negentiende-eeuwse illustraties tot hedendaagse smartphonejournalistiek. We bespreken hoe claims over nepnieuws niet alleen verbonden zijn aan technologische veranderingen, maar ook aan (verhoogde) politieke spanningen Op een methodologisch niveau bespreken we wat er gebeurt met visuele bronnen wanneer ze gedigitaliseerd worden. Ook verkennen we verschillende methoden om visuele bronnen te onderzoeken, varierend van close reading tot geautomatiseerde ‘distant viewing’.', 'Werkvorm en contacturen', '1 x 3 uur werkcollege per week', 'Studiemateriaal', 'Hill J en Schwartz V (2015) Getting the Picture: The Visual Culture of the News. Londen: Bloomsbury Academic.Fineman M (2013) Faking It. Manipulated Photography before Photoshop. New Haven: Yale University Press.Paul G (2016) Das visuelle Zeitalter: Punkt und Pixel. Göttingen: Wallstein Verlag.Digitale reader met artikelen.', 'Toetsing', '(30%) een (digitale) poster waarop studenten een specifieke nieuwsafbeelding analyseren en interpreteren.(70%) afbeeldingen en bijbehorende teksten (inleidingen en bijschriften) voor een kleine (online) tentoonstelling.Groepsopdrachten en participatie']"
https://studiegids.uva.nl/xmlpages/page/2023-2024/zoek-vak/vak/110513,2023,Contextualizing Spanish: Language and Society 3,Engels,AUC,[],[],['/xmlpages/page/2023-2024/zoek-opleiding/opleiding/7742'],"['Required prior knowledge', 'One of the following:', 'Contextualizing Arabic: Language and Society 2Spanish A2']"
https://studiegids.uva.nl/xmlpages/page/2023-2024/zoek-vak/vak/110514,2023,Contextualizing Spanish: Language and Society 4,Engels,AUC,[],[],['/xmlpages/page/2023-2024/zoek-opleiding/opleiding/7742'],"['Required prior knowledge', 'One of the following:', 'Contextualizing Spanish: Language and Society 3Spanish B1.2']"
https://studiegids.uva.nl/xmlpages/page/2023-2024/zoek-vak/vak/104828,2023,"""Losing Earth""?: Activism and Diplomacy on the Environment and Climate since 1968",English,Graduate School of Humanities,['/xmlpages/page/2023-2024/zoek-docent/docent/8011'],['dr. R. van Dijk (co-ordinator)'],['/xmlpages/page/2023-2024/zoek-opleiding/opleiding/7383'],"['Objectives', 'Obtain knowledge of the emergence of environmental degradation and climate change as subjects of transnational activism and international relations since the middle of the 20th century.Gain insight into the politics of environmental protection and collective action against climate change since the 1960s, globally and in various parts of the world.Apply historical knowledge and historical thinking on these issues in a contemporary case-study, using scholarly literature and historical and contemporary primary sources.Present the preliminary results of the research to other members of the group; provide and receive peer-review; present the end-result of the research in a wider context, with commentary from members of the UvA-ASH research group\xa0Environment & Society: contestation & governance.', '', 'Contents', 'The way the modern world since the 19th century has created wealth and prosperity--a carbon-based economy--has caused ecological and climatological problems so severe that most of this progress will be at risk for people all over the world in this century. This is the great paradox, and challenge, of our time: what has made many people thrive, and what others hope will do the same for them, now threatens most of what has been accomplished.', '', 'As humanity has become aware of the threat, there has been a close connection between on the one hand, what happens locally, regionally, and nationally, and, on the other hand, what individuals, groups, and governments have been able to accomplish inter- and transnationally.', '', ""Without a scientific consensus there can be no basis for action; without local and transnational activism, there's little incentive for meaningful diplomacy. These three aspects: emergence of a scientific consensus on the important environmental and climate challenges; civil society activism, but also skepticism and denial; and international diplomacy will be central in this course for the period since the 1960s. In light of the global nature of the challenges, the emphasis will be on international and transnational aspects."", '', 'This is a history course. As historians we believe that contemporary challenges cannot be understood without knowledge of their history, and that historical thinking is indispensable as a basis for meaningful action in the present. The recent history of action and inaction on environmental and climate questions is particularly contested, and it will be one of our tasks to grapple with it. History will not provide simple prescriptions for action on the difficult questions. Still, the goal for the research projects is to find convincing ways to have historical research inform present-day debates.', 'Teaching method and contact hours', 'Twice-weekly seminar meetings of 2 hours; common readings and discussions; peer-review of research plans; presentation of research results at a public forum.', 'Remarks', 'Lanquage of instruction will be English']"
https://studiegids.uva.nl/xmlpages/page/2023-2024/zoek-vak/vak/108047,2023,"'Hier leit geest en leven op 't paneel', Materiaalweergave en bedrog in vroegmoderne schilderkunst",Nederlands,College of Humanities,['/xmlpages/page/2023-2024/zoek-docent/docent/500654'],['mw. A.L. Wiersma MA (coördinator)'],[],"['Leerdoelen', 'Aan het einde van deze module', 'is de student bekend met belangrijke bronnen en kunst die betrekking hebben op het onderwerp ‘stofuitdrukking’ of materiaalweergave en het maken van illusies in de schilderkunst;heeft de student kennis van auteurs en discussies rondom het onderwerp ‘stofuitdrukking’ of materiaalweergave in illusies in de kunstgeschiedenis;is de student in staat theorie en praktijk onder woorden te brengen en geeft de student er blijk van deze kritisch te kunnen evalueren;begrijpt de student globaal hoe een zeventiende-eeuws schilderij werd gemaakt en in het bijzonder hoe de afbeelding overtuigend werd ‘gekleurd’;laat de student zien onderzoeksvragen te kunnen toepassen wat betreft dit onderwerp en eigen invalshoeken kritisch te kunnen onderbouwen.', 'Inhoud', ""Een perzik op een stillevenschilderij kan er zo smakelijk uitzien dat je er je tanden in wilt zetten en Rembrandt probeerde eens een door zijn leerlingen geschilderde munt van zijn ateliervloer te rapen. Vroegmoderne schilders wilden hun schilderwerk er zo echt mogelijk uit te laten zien. Hoe deden zij dat? En waarom? Dit vak gaat in op technische aspecten, maar we bevragen ook het waarom van 'bedriegertjes'\xa0en de waardering voor schilderkunst die 'echt' en tegelijkertijd zo aantrekkelijk mogelijk probeerde te zijn in de vroegmoderne tijd."", 'Aanmelden', 'Informatie over de vakaanmelding en de vakaanmeldperiodes vind je hier.', 'Werkvorm en contacturen', 'Hoor-/werkcolleges, 2x 2 uur per week, een praktische bijeenkomst en een museumbezoek.', 'Studiemateriaal', 'Wordt nader bekend gemaakt.', 'Toetsing', 'Deelname 20%Referaten 40%Essay 40%']"
https://studiegids.uva.nl/xmlpages/page/2023-2024/zoek-vak/vak/112799,2023,"1.1: Gezondheid, zorg, en informatie",Nederlands,Medische informatiekunde,['/xmlpages/page/2023-2024/zoek-docent/docent/10446'],['E. Joukes  (coördinator)'],"['/xmlpages/page/2023-2024/zoek-opleiding/opleiding/7802', '/xmlpages/page/2023-2024/zoek-opleiding/opleiding/7804']","['Inhoud', 'Gezondheid, zorg en informatie']"
https://studiegids.uva.nl/xmlpages/page/2023-2024/zoek-vak/vak/112801,2023,1.2: Ontwikkelen van zorgapplicaties,Nederlands,Medische informatiekunde,['/xmlpages/page/2023-2024/zoek-docent/docent/12442'],['F.J. Wiesman  (coördinator)'],"['/xmlpages/page/2023-2024/zoek-opleiding/opleiding/7802', '/xmlpages/page/2023-2024/zoek-opleiding/opleiding/7804']","['Inhoud', 'Ontwikkelen van zorgapplicaties']"
https://studiegids.uva.nl/xmlpages/page/2023-2024/zoek-vak/vak/112803,2023,1.3: Volksgezondheid & gezondheidszorg,Nederlands,Medische informatiekunde,['/xmlpages/page/2023-2024/zoek-docent/docent/12497'],['D.S. Kringos  (coördinator)'],"['/xmlpages/page/2023-2024/zoek-opleiding/opleiding/7802', '/xmlpages/page/2023-2024/zoek-opleiding/opleiding/7804']","['Inhoud', 'Volksgezondheid & gezondheidszorg', '']"
https://studiegids.uva.nl/xmlpages/page/2023-2024/zoek-vak/vak/112805,2023,1.4: Hoe werken & denken dokters,Nederlands,Medische informatiekunde,"['/xmlpages/page/2023-2024/zoek-docent/docent/13124', '/xmlpages/page/2023-2024/zoek-docent/docent/13478', '/xmlpages/page/2023-2024/zoek-docent/docent/13479', '/xmlpages/page/2023-2024/zoek-docent/docent/13477', '/xmlpages/page/2023-2024/zoek-docent/docent/10447', '/xmlpages/page/2023-2024/zoek-docent/docent/11899', '/xmlpages/page/2023-2024/zoek-docent/docent/13476', '/xmlpages/page/2023-2024/zoek-docent/docent/13288', '/xmlpages/page/2023-2024/zoek-docent/docent/13239', '/xmlpages/page/2023-2024/zoek-docent/docent/13065', '/xmlpages/page/2023-2024/zoek-docent/docent/13061', '/xmlpages/page/2023-2024/zoek-docent/docent/12494', '/xmlpages/page/2023-2024/zoek-docent/docent/13218', '/xmlpages/page/2023-2024/zoek-docent/docent/13180']","['C.J. Aalbers', 'E.C.A. Asscher', 'DR. J. Bont', 'J.G. Daams', 'M.P. Fransen', 'E. Hoff  (coördinator)', 'K. Jacobs', 'J. de Jong', 'K.J. Ploegmakers', 'M.C. Ploem', 'L. de Rooy', 'F.P.J.M. Voorbraak', 'P.A. Walstock', 'R. Wilders']","['/xmlpages/page/2023-2024/zoek-opleiding/opleiding/7802', '/xmlpages/page/2023-2024/zoek-opleiding/opleiding/7804']","['Inhoud', 'Hoe werken & denken dokters', '']"
